Gender,Age,Marital_Status,Education,Employment_Status,Annual_Income,Loan_Amount,Credit_Score,Existing_Loan,Property_Area,Loan_Status
Male,28,Single,Graduate,Employed,450000,150000,750,No,Urban,Approved
Female,35,Married,Graduate,Employed,650000,250000,810,No,Semiurban,Approved
Male,42,Married,Non-Graduate,Self-Employed,300000,200000,620,Yes,Rural,Rejected
Female,30,Single,Graduate,Employed,520000,180000,780,No,Urban,Approved
Male,25,Single,Graduate,Employed,280000,150000,690,No,Rural,Approved
Male,40,Married,Graduate,Self-Employed,900000,450000,830,No,Semiurban,Approved
Female,38,Married,Graduate,Employed,480000,300000,710,Yes,Urban,Approved
Male,29,Single,Non-Graduate,Employed,220000,180000,580,Yes,Rural,Rejected
Female,27,Single,Graduate,Employed,410000,120000,760,No,Urban,Approved
Male,33,Married,Graduate,Employed,600000,250000,790,No,Semiurban,Approved
Female,45,Married,Graduate,Self-Employed,750000,400000,820,No,Urban,Approved
Male,36,Married,Non-Graduate,Employed,260000,220000,610,Yes,Rural,Rejected
Female,31,Single,Graduate,Employed,530000,180000,770,No,Semiurban,Approved
Male,39,Married,Graduate,Employed,680000,350000,805,No,Urban,Approved
Female,24,Single,Graduate,Employed,290000,100000,700,No,Rural,Approved
Male,41,Married,Graduate,Self-Employed,850000,500000,840,No,Semiurban,Approved
Female,37,Married,Graduate,Employed,470000,280000,730,Yes,Urban,Approved
Male,26,Single,Non-Graduate,Employed,240000,170000,590,Yes,Rural,Rejected
Female,34,Married,Graduate,Employed,610000,260000,795,No,Semiurban,Approved
Male,32,Single,Graduate,Employed,390000,160000,720,No,Urban,Approved
Female,43,Married,Graduate,Self-Employed,820000,420000,835,No,Semiurban,Approved
Male,30,Married,Graduate,Employed,510000,210000,765,No,Urban,Approved
Female,29,Single,Graduate,Employed,360000,150000,705,No,Rural,Approved
Male,35,Married,Non-Graduate,Self-Employed,270000,230000,600,Yes,Rural,Rejected
Female,28,Single,Graduate,Employed,440000,170000,740,No,Urban,Approved
Male,44,Married,Graduate,Employed,930000,520000,850,No,Semiurban,Approved
Female,39,Married,Graduate,Self-Employed,690000,330000,810,No,Urban,Approved
Male,27,Single,Graduate,Employed,320000,140000,680,No,Rural,Approved
Female,33,Married,Graduate,Employed,560000,220000,775,No,Semiurban,Approved
Male,38,Married,Graduate,Self-Employed,780000,410000,825,No,Urban,Approved
Female,26,Single,Non-Graduate,Employed,210000,180000,560,Yes,Rural,Rejected
Male,31,Married,Graduate,Employed,580000,240000,785,No,Semiurban,Approved
Female,36,Married,Graduate,Self-Employed,730000,370000,815,No,Urban,Approved
Male,29,Single,Graduate,Employed,350000,160000,710,No,Rural,Approved
Female,40,Married,Graduate,Employed,810000,450000,845,No,Semiurban,Approved
Male,34,Married,Non-Graduate,Employed,250000,210000,605,Yes,Rural,Rejected
Female,27,Single,Graduate,Employed,430000,160000,735,No,Urban,Approved
Male,45,Married,Graduate,Self-Employed,980000,550000,860,No,Semiurban,Approved
Female,32,Married,Graduate,Employed,590000,250000,790,No,Urban,Approved
Male,28,Single,Graduate,Employed,310000,130000,695,No,Rural,Approved
Female,41,Married,Graduate,Self-Employed,870000,470000,840,No,Semiurban,Approved
Male,37,Married,Graduate,Employed,660000,320000,800,No,Urban,Approved
Female,25,Single,Graduate,Employed,300000,120000,690,No,Rural,Approved
Male,43,Married,Graduate,Self-Employed,890000,480000,845,No,Semiurban,Approved
Female,30,Single,Graduate,Employed,500000,190000,760,No,Urban,Approved
Male,36,Married,Non-Graduate,Employed,230000,200000,595,Yes,Rural,Rejected
Female,35,Married,Graduate,Employed,620000,280000,800,No,Semiurban,Approved
Male,27,Single,Graduate,Employed,340000,150000,705,No,Urban,Approved
Female,38,Married,Graduate,Self-Employed,760000,390000,820,No,Semiurban,Approved
Male,33,Married,Graduate,Employed,570000,230000,780,No,Urban,Approved
